"","id","Name","type","pharmacy","ethnic","merch","registers","selfchecko","total_registers","availability","cost","market","brand","area"
"1","SL-039","Lucky Grocery","Grocery Store","FALSE","FALSE","FALSE","10","8",18,25,4,127.563358914729,"Other",424938.800328054
"2","SL-040","Vida Markets","Grocery Store","FALSE","TRUE","FALSE","3","0",3,12,5,124.129542071299,"Other",36985.5300697759
"3","SL-013","Perez Market","Grocery Store","FALSE","TRUE","FALSE","3","0",3,9,0,157.188738876755,"Other",12743.120518744
"4","SL-014","Macey's","Dollar Store","FALSE","FALSE","FALSE","4","0",4,5,1,154.19432136058,"Macey's",273644.556887627
"5","SL-015","Harmons","Grocery Store","TRUE","FALSE","FALSE","9","5",14,25,1,142.632970168404,"Harmons",241708.794670582
"6","SL-010","Family Dollar","Dollar Store","FALSE","FALSE","FALSE","2","0",2,10,1,156.16428067262,"Family Dollar",42296.3787142336
"7","SL-012","Family Dollar","Dollar Store","FALSE","FALSE","FALSE","2","0",2,11,4,155.042696843551,"Family Dollar",32750.5966254175
"8","SL-038","Smiths","Grocery Store","FALSE","FALSE","FALSE","9","8",17,28,3,138.423404651163,"Smith's",227418.295131251
"9","SL-037","John's Marketplace","Grocery Store","FALSE","FALSE","FALSE","3","0",3,21,7,112.235156589147,"Other",172781.30236733
"10","SL-036","Family Dollar","Dollar Store","FALSE","FALSE","FALSE","2","0",2,12,1,155.505100117065,"Family Dollar",53435.4066383839
"11","SL-052","Smiths","Grocery Store","TRUE","FALSE","FALSE","5","12",17,26,6,133.207226873385,"Smith's",155259.637500569
"12","SL-034","Harmons","Grocery Store","TRUE","FALSE","FALSE","18","6",24,26,2,138.680784496124,"Harmons",393965.354616344
"13","SL-031","Target","Grocery Store","FALSE","FALSE","TRUE","7","8",15,20,5,170.887609237726,"Target",304425.261999816
"14","SL-035","The Fresh Market","Grocery Store","FALSE","FALSE","FALSE","8","6",14,26,0,145.560541085271,"Other",416267.669668257
"15","SL-027","Big Lots","Grocery Store","FALSE","FALSE","TRUE","3","0",3,10,4,169.850440964998,"Other",72528.6479396522
"16","SL-025","Azteca de Oro","Other","FALSE","TRUE","FALSE","2","0",2,7,1,128.381447445643,"Other",49442.4726778269
"17","SL-026","Andi's Market","Grocery Store","FALSE","FALSE","FALSE","3","0",3,3,0,154.591639068914,"Other",65748.6118844002
"18","SL-024","Rancho Markets","Grocery Store","FALSE","TRUE","FALSE","6","4",10,15,1,123.099083264709,"Other",70229.3138771653
"19","SL-023","Stan's Market","Grocery Store","FALSE","FALSE","FALSE","5","0",5,21,7,131.043345816627,"Other",66506.4461546311
"20","SL-030","La Placita Market","Grocery Store","FALSE","TRUE","FALSE","1","0",1,10,2,136.839985787936,"Other",24067.2832930535
"21","SL-028","Family Dollar","Dollar Store","FALSE","FALSE","FALSE","2","0",2,13,1,167.438114005953,"Family Dollar",37198.7499301434
"22","SL-029","Harmon's","Grocery Store","TRUE","FALSE","FALSE","18","6",24,24,-1,156.889631087944,"Harmons",316545.081922591
"23","SL-022","Dollar General","Dollar Store","FALSE","FALSE","FALSE","2","0",2,10,2,153.263701861251,"Other",32429.3581347764
"24","SL-021","Smith's","Grocery Store","TRUE","FALSE","FALSE","9","12",21,26,-1,118.553613953488,"Smith's",244652.577900887
"25","SL-020","Dollar Tree","Dollar Store","FALSE","FALSE","FALSE","6","0",6,8,3,118.588647506336,"Dollar Tree",75740.6378136128
"26","SL-019","Rancho Market","Grocery Store","FALSE","TRUE","FALSE","5","4",9,15,4,133.702707507133,"Other",68546.2577623725
"27","SL-018","Walmart","Grocery Store","FALSE","FALSE","FALSE","12","7",19,24,0,128.568862790698,"Walmart",295748.901496172
"28","SL-017","Family Dollar","Dollar Store","FALSE","FALSE","FALSE","2","0",2,13,6,167.776433450398,"Family Dollar",31535.1677674949
"29","SL-011","El Potrero Market","Grocery Store","FALSE","TRUE","FALSE","2","0",2,11,1,127.157026820354,"Other",41886.5712564364
"30","SL-009","Smith's","Grocery Store","TRUE","FALSE","FALSE","8","12",20,26,3,134.475613953488,"Smith's",303221.903602362
"31","SL-008","99 Cent Plus","Dollar Store","FALSE","FALSE","FALSE","1","0",1,2,0,154.210154693914,"Other",23069.9221015075
"32","SL-007","Walmart Supercenter","Grocery Store","FALSE","FALSE","TRUE","26","8",34,27,3,124.069031007752,"Walmart",711784.401495576
"33","SL-006","Target","Grocery Store","FALSE","FALSE","TRUE","13","4",17,20,4,136.260316401469,"Target",281428.152437508
"34","SL-005","Winco","Grocery Store","FALSE","FALSE","FALSE","17","6",23,26,6,99.2179310077519,"Winco",461789.09886694
"35","SL-004","Family Dollar","Dollar Store","FALSE","FALSE","FALSE","2","0",2,11,2,165.819144840967,"Family Dollar",32042.0898844898
"36","SL-002","Dollar Tree","Dollar Store","FALSE","FALSE","FALSE","4","0",4,5,1,154.19432136058,"Dollar Tree",97537.8334437013
"37","SL-003","Smith's","Grocery Store","TRUE","FALSE","FALSE","11","12",23,26,0,118.771647286822,"Smith's",149805.55745784
"38","SL-001","Rancho Market #5","Grocery Store","FALSE","TRUE","FALSE","5","4",9,13,1,112.09140813551,"Other",47235.2781077921
"39","SL-016","Anaya's Market","Grocery Store","FALSE","TRUE","FALSE","3","0",3,8,1,139.261588560945,"Other",48730.5029527843
